# Lauricella6 Phase 6 hybrid packet profile; timing requires GM6_PACKET_PROFILE=1
SUMMARY lane case u candidates built accepted rejected quality_rejected build_failed max_depth endpoint_root_ms algebraic_geometry_ms log_derivative_ms pfaffian_recurrence_ms quality_tail_ms accepted_ms rejected_ms
ARC lane case u arc_index cell_index cell_lo cell_hi radial_center theta_lo theta_hi event_gap_ratio nearest_event_kind xi_min_divisor chart2 constructions built accepted rejected quality_rejected build_failed max_depth accepted_node_sum accepted_node_min accepted_node_max node_failed first_failed_R first_failed_packet_center first_failed_packet_lo first_failed_packet_hi first_failed_block_lo first_failed_block_hi first_failed_phase_error first_failed_packet_tail construction_ms fold_constructions fold_accepted fold_rejected fold_construction_ms fold_taylor_tail fold_moment_tail fold_pair_residual fold_v_center fold_v_side fold_v_ratio fold_event_radius fold_failure_reason
ARC value_warm plan15 0.5 1 3 0.72464331388395575 0.77033249937298154 0.74748790662846865 3.5159870968678204 4.701736219657394 0.5 1 0.098685574297738235 1 25 25 12 13 13 0 12 64 1 21 0 nan nan nan nan nan nan nan nan 0.56325600000000009 1 0 1 0.20947099999999999 2.0712027555020276e-06 0.00066993957374369029 7.4369854995194719e-07 0.1599954513764377 2.4186805183451432e-08 1.5117183004499708e-07 0.72464331388395575 6
ARC value_warm plan15 0.5 2 4 0.77033249937298154 0.81649658092772603 0.79341454015035384 3.3057406182717228 5.3463054503961098 0.49999999999999878 4 0.33842982737686833 1 7 7 4 3 3 0 2 64 11 21 0 nan nan nan nan nan nan nan nan 0.15797600000000001 0 0 0 0 inf inf inf nan nan inf nan 0
ARC value_warm plan15 0.5 3 5 0.81649658092772603 0.82684332504045766 0.82166995298409184 3.582124362724914 5.4256032194435591 0.5 4 0.10519600547298481 1 1 1 1 0 0 0 0 64 64 64 0 nan nan nan nan nan nan nan nan 0.022741999999999998 0 0 0 0 inf inf inf nan nan inf nan 0
ARC value_warm plan15 0.5 4 6 0.82684332504045766 0.89132878967498075 0.85908605735771926 4.4915917717757434 5.4281800631558434 0.49999999999999911 1 0.24098526703610287 0 27 27 13 14 14 0 12 64 1 15 0 nan nan nan nan nan nan nan nan 0.61425799999999986 1 0 1 0.20952200000000001 0.00088440115533815905 0.008455466506338662 0.00095314786936767084 0.1575040874914807 0.028498249455251434 0.18093657065752586 0.89132878967498075 6
ARC value_warm plan15 0.5 5 7 0.89132878967498075 0.91110376604052135 0.90121627785775105 1.4985145380321401 1.9500333096148104 0.5 1 0.03860025308895447 1 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 1.0387829999999998 1 0 1 0.21454599999999999 0 6.9288801385607367e-08 1.7295527390134917e-16 0.03941554612448904 8.7151384648762288e-09 2.2110916432187851e-07 0.89132878967498075 6
ARC value_warm plan15 0.5 6 7 0.89132878967498075 0.91110376604052135 0.90121627785775105 5.019365941518263 5.3389557971596018 0.5 1 0.03629132271161209 0 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 0.97035499999999997 0 0 0 0 inf inf inf 0.01225609643413339 0.028498233374369394 2.3252292055243169 0.89132878967498075 0
ARC value_warm plan15 0.5 7 8 0.91110376604052135 1.0641740062861589 0.98763888616334006 1.1580974751342081 1.8085044789771461 0.49999999999999961 1 0.14799476955312046 0 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 0.97620700000000005 0 0 0 0 inf inf inf 0.095299596444350224 0.1167946997645579 1.2255529312000775 0.91110376604052135 0
ARC value_warm plan15 0.5 8 12 1.5177022757222824 1.5841307436547978 1.5509165096885402 6.193499097745268 6.2763367528163601 0.49999999999999833 1 inf 0 0 0 0 0 0 0 0 0 0 0 0 nan nan nan nan nan nan nan nan 0 1 1 0 0.20910500000000001 1.025851204886804e-13 1.6128917270273877e-15 9.2019000195674233e-17 0.00042950276029262758 1.8404583562519671e-10 4.2850908687944899e-07 1.5177022757222824 0
SUMMARY jac_cold plan15 0.5 232 232 110 122 122 0 12 0.78108499999999981 1.643384 1.2489180000000004 1.3840260000000006 0.22082799999999983 2.5253510000000015 2.8172309999999996
ARC jac_cold plan15 0.5 0 1 0.61086409822535603 0.68433118317205743 0.64759764069870673 6.0118910382730189 6.2651098949130546 0.5 1 0.076548129876983423 0 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 0.97657600000000011 1 0 1 0.45869599999999999 5.019680905032192e-10 2.6511446143623414e-11 8.9983046516450056e-15 0.0040607053047167913 1.4092645335712591e-09 3.4704920151046185e-07 0.61086409822535603 6
ARC jac_cold plan15 0.5 1 3 0.72464331388395575 0.77033249937298154 0.74748790662846865 3.5159870968678204 4.701736219657394 0.5 1 0.098685574297738235 1 25 25 12 13 13 0 12 64 1 21 0 nan nan nan nan nan nan nan nan 0.57080700000000006 1 0 1 0.39907199999999998 0.00026418569228787867 0.010208328615588652 7.4369854995194719e-07 0.1599954513764377 2.4186805183451432e-08 1.5117183004499708e-07 0.72464331388395575 6
ARC jac_cold plan15 0.5 2 4 0.77033249937298154 0.81649658092772603 0.79341454015035384 3.3057406182717228 5.3463054503961098 0.49999999999999878 4 0.33842982737686833 1 7 7 4 3 3 0 2 64 11 21 0 nan nan nan nan nan nan nan nan 0.15830899999999998 0 0 0 0 inf inf inf nan nan inf nan 0
ARC jac_cold plan15 0.5 3 5 0.81649658092772603 0.82684332504045766 0.82166995298409184 3.582124362724914 5.4256032194435591 0.5 4 0.10519600547298481 1 1 1 1 0 0 0 0 64 64 64 0 nan nan nan nan nan nan nan nan 0.022754 0 0 0 0 inf inf inf nan nan inf nan 0
ARC jac_cold plan15 0.5 4 6 0.82684332504045766 0.89132878967498075 0.85908605735771926 4.4915917717757434 5.4281800631558434 0.49999999999999911 1 0.24098526703610287 0 27 27 13 14 14 0 12 64 1 15 0 nan nan nan nan nan nan nan nan 0.62094500000000019 1 0 1 0.39588299999999998 0.087527606540378083 0.36021724363263002 0.00095314786936767084 0.1575040874914807 0.028498249455251434 0.18093657065752586 0.89132878967498075 6
ARC jac_cold plan15 0.5 5 7 0.89132878967498075 0.91110376604052135 0.90121627785775105 1.4985145380321401 1.9500333096148104 0.5 1 0.03860025308895447 1 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 0.97361000000000009 1 0 1 0.39147300000000002 0 1.7914519506842869e-06 1.7295527390134917e-16 0.03941554612448904 8.7151384648762288e-09 2.2110916432187851e-07 0.89132878967498075 6
ARC jac_cold plan15 0.5 6 7 0.89132878967498075 0.91110376604052135 0.90121627785775105 5.019365941518263 5.3389557971596018 0.5 1 0.03629132271161209 0 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 0.97308499999999998 0 0 0 0 inf inf inf 0.01225609643413339 0.028498233374369394 2.3252292055243169 0.89132878967498075 0
ARC jac_cold plan15 0.5 7 8 0.91110376604052135 1.0641740062861589 0.98763888616334006 1.1580974751342081 1.8085044789771461 0.49999999999999961 1 0.14799476955312046 0 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 1.0464959999999996 0 0 0 0 inf inf inf 0.095299596444350224 0.1167946997645579 1.2255529312000775 0.91110376604052135 0
ARC jac_cold plan15 0.5 8 12 1.5177022757222824 1.5841307436547978 1.5509165096885402 6.193499097745268 6.2763367528163601 0.49999999999999833 1 inf 0 0 0 0 0 0 0 0 0 0 0 0 nan nan nan nan nan nan nan nan 0 1 1 0 0.39177699999999999 3.0909459327693504e-12 1.4875132853842159e-13 9.2019000195674233e-17 0.00042950276029262758 1.8404583562519671e-10 4.2850908687944899e-07 1.5177022757222824 0
SUMMARY jac_warm plan15 0.5 232 232 110 122 122 0 12 0.78825500000000037 1.6670590000000007 1.2404690000000003 1.380104999999999 0.22051900000000002 2.5131630000000005 2.8502040000000011
ARC jac_warm plan15 0.5 0 1 0.61086409822535603 0.68433118317205743 0.64759764069870673 6.0118910382730189 6.2651098949130546 0.5 1 0.076548129876983423 0 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 0.98471100000000011 1 0 1 0.39729199999999998 5.019680905032192e-10 2.6511446143623414e-11 8.9983046516450056e-15 0.0040607053047167913 1.4092645335712591e-09 3.4704920151046185e-07 0.61086409822535603 6
ARC jac_warm plan15 0.5 1 3 0.72464331388395575 0.77033249937298154 0.74748790662846865 3.5159870968678204 4.701736219657394 0.5 1 0.098685574297738235 1 25 25 12 13 13 0 12 64 1 21 0 nan nan nan nan nan nan nan nan 0.61607600000000007 1 0 1 0.40895700000000001 0.00026418569228787867 0.010208328615588652 7.4369854995194719e-07 0.1599954513764377 2.4186805183451432e-08 1.5117183004499708e-07 0.72464331388395575 6
ARC jac_warm plan15 0.5 2 4 0.77033249937298154 0.81649658092772603 0.79341454015035384 3.3057406182717228 5.3463054503961098 0.49999999999999878 4 0.33842982737686833 1 7 7 4 3 3 0 2 64 11 21 0 nan nan nan nan nan nan nan nan 0.15828900000000001 0 0 0 0 inf inf inf nan nan inf nan 0
ARC jac_warm plan15 0.5 3 5 0.81649658092772603 0.82684332504045766 0.82166995298409184 3.582124362724914 5.4256032194435591 0.5 4 0.10519600547298481 1 1 1 1 0 0 0 0 64 64 64 0 nan nan nan nan nan nan nan nan 0.022776999999999999 0 0 0 0 inf inf inf nan nan inf nan 0
ARC jac_warm plan15 0.5 4 6 0.82684332504045766 0.89132878967498075 0.85908605735771926 4.4915917717757434 5.4281800631558434 0.49999999999999911 1 0.24098526703610287 0 27 27 13 14 14 0 12 64 1 15 0 nan nan nan nan nan nan nan nan 0.61814999999999976 1 0 1 0.39063500000000001 0.087527606540378083 0.36021724363263002 0.00095314786936767084 0.1575040874914807 0.028498249455251434 0.18093657065752586 0.89132878967498075 6
ARC jac_warm plan15 0.5 5 7 0.89132878967498075 0.91110376604052135 0.90121627785775105 1.4985145380321401 1.9500333096148104 0.5 1 0.03860025308895447 1 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 1.0024779999999998 1 0 1 0.39059300000000002 0 1.7914519506842869e-06 1.7295527390134917e-16 0.03941554612448904 8.7151384648762288e-09 2.2110916432187851e-07 0.89132878967498075 6
ARC jac_warm plan15 0.5 6 7 0.89132878967498075 0.91110376604052135 0.90121627785775105 5.019365941518263 5.3389557971596018 0.5 1 0.03629132271161209 0 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 0.98686000000000018 0 0 0 0 inf inf inf 0.01225609643413339 0.028498233374369394 2.3252292055243169 0.89132878967498075 0
ARC jac_warm plan15 0.5 7 8 0.91110376604052135 1.0641740062861589 0.98763888616334006 1.1580974751342081 1.8085044789771461 0.49999999999999961 1 0.14799476955312046 0 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 0.97402600000000006 0 0 0 0 inf inf inf 0.095299596444350224 0.1167946997645579 1.2255529312000775 0.91110376604052135 0
ARC jac_warm plan15 0.5 8 12 1.5177022757222824 1.5841307436547978 1.5509165096885402 6.193499097745268 6.2763367528163601 0.49999999999999833 1 inf 0 0 0 0 0 0 0 0 0 0 0 0 nan nan nan nan nan nan nan nan 0 1 1 0 0.39899800000000002 3.0909459327693504e-12 1.4875132853842159e-13 9.2019000195674233e-17 0.00042950276029262758 1.8404583562519671e-10 4.2850908687944899e-07 1.5177022757222824 0
SUMMARY value_cold resonant 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SUMMARY value_warm resonant 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SUMMARY value_cold resonant 0.5 178 178 84 94 94 0 13 0.62408800000000075 1.283407 0.961225 1.0764409999999998 0.1721369999999999 1.9647559999999995 2.2032950000000002
ARC value_cold resonant 0.5 0 1 0.58456339397660351 0.60229857765545392 0.59343098581602871 6.2506944251541086 6.2970832937672219 0.5 1 inf 0 0 0 0 0 0 0 0 0 0 0 0 nan nan nan nan nan nan nan nan 0 1 1 0 0.246696 0 3.4665544696390367e-18 1.5323433575153467e-18 0.00013451331923208513 5.3279899421210594e-11 3.9609385691600621e-07 0.58456339397660351 0
ARC value_cold resonant 0.5 1 5 0.89272238722220432 0.89285728622761085 0.89278983672490764 3.333287670281067 3.4704041548387474 0.4999999999995885 3 inf 1 0 0 0 0 0 0 0 0 0 0 0 nan nan nan nan nan nan nan nan 0 1 1 0 0.21046599999999999 0 5.4252816246222959e-15 1.840709486535508e-18 0.0012166526852415537 2.4318161463118388e-10 1.9987759660671173e-07 0.89272238722220432 0
ARC value_cold resonant 0.5 2 6 0.89285728622761085 0.89362903934338711 0.89324316278549898 3.2065223656863062 3.5874692369158336 0.5 3 0.0014282270785900644 1 5 5 3 2 2 0 2 64 11 32 0 nan nan nan nan nan nan nan nan 0.11941499999999999 0 0 0 0 inf inf inf nan nan inf nan 0
ARC value_cold resonant 0.5 3 7 0.89362903934338711 0.90000000000000002 0.89681451967169357 2.8275810567513315 3.8908774602658815 0.5 2 0.0018425565018040894 1 7 7 4 3 3 0 3 64 6 32 0 nan nan nan nan nan nan nan nan 0.17005200000000004 0 0 0 0 inf inf inf nan nan inf nan 0
ARC value_cold resonant 0.5 4 8 0.90000000000000002 0.93677237646692391 0.91838618823346196 2.0172678517479938 4.3779560148061041 0.5 4 0.026120903656721924 1 28 28 13 15 15 0 13 64 1 15 0 nan nan nan nan nan nan nan nan 0.70926900000000004 0 0 0 0 inf inf inf 0.44965976831259025 0.51063236163424253 1.1355971728368324 0.93677237646692391 0
ARC value_cold resonant 0.5 5 9 0.93677237646692391 0.93769585069909211 0.93723411358300801 1.7854271176553578 3.4338012894598822 0.5 1 0.04904089665443221 1 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 0.9714489999999999 0 0 0 0 inf inf inf 0.22688463971912298 0.27918795902559324 1.2305282515873279 0.93677237646692391 0
ARC value_cold resonant 0.5 6 9 0.93677237646692391 0.93769585069909211 0.93723411358300801 3.8870315298259741 4.2211234316426882 0.5 1 0.0077692043783739147 1 45 45 20 25 25 0 13 64 1 11 0 nan nan nan nan nan nan nan nan 1.0222300000000002 0 0 0 0 inf inf inf 0.010828040342525215 0.034652234786923211 3.2002314076013074 0.93677237646692391 0
ARC value_cold resonant 0.5 7 10 0.93769585069909211 0.93978051010252206 0.93873818040080703 1.775655019915463 3.2317126514035728 0.49999999999997335 1 0.046581533627988711 1 23 23 11 12 12 0 12 64 1 32 0 nan nan nan nan nan nan nan nan 0.56729899999999989 0 0 0 0 inf inf inf 0.18433023872930271 0.20910118228033378 1.1343835049625706 0.93769585069909211 0
ARC value_cold resonant 0.5 8 11 0.93978051010252206 0.96494059813101551 0.95236055411676879 1.7383614454477019 2.5366967513678484 0.5 2 0.037641042364713023 1 27 27 13 14 14 0 12 64 1 15 0 nan nan nan nan nan nan nan nan 0.60833700000000002 1 0 1 0.210956 8.6173439536848466e-06 2.9382385070254984e-05 6.9121738129951963e-07 0.071031167289875491 1.4655698059362971e-08 2.0632770963137386e-07 0.96494059813101551 6
ARC value_cold resonant 0.5 9 14 1.2570172376165298 1.2890105099961544 1.2730138738063421 6.2345833674256426 6.304044191965497 0.5 1 inf 0 0 0 0 0 0 0 0 0 0 0 0 nan nan nan nan nan nan nan nan 0 1 1 0 0.20966799999999999 1.3837653582829679e-17 0 2.7370537705042865e-17 0.00030164004449482362 1.3135592039033738e-10 4.3547242081311771e-07 1.2570172376165298 0
SUMMARY value_warm resonant 0.5 178 178 84 94 94 0 13 0.61610300000000029 1.2674150000000002 0.95873800000000042 1.0778159999999999 0.16926000000000005 1.9495080000000002 2.188923
ARC value_warm resonant 0.5 0 1 0.58456339397660351 0.60229857765545392 0.59343098581602871 6.2506944251541086 6.2970832937672219 0.5 1 inf 0 0 0 0 0 0 0 0 0 0 0 0 nan nan nan nan nan nan nan nan 0 1 1 0 0.21654899999999999 0 3.4665544696390367e-18 1.5323433575153467e-18 0.00013451331923208513 5.3279899421210594e-11 3.9609385691600621e-07 0.58456339397660351 0
ARC value_warm resonant 0.5 1 5 0.89272238722220432 0.89285728622761085 0.89278983672490764 3.333287670281067 3.4704041548387474 0.4999999999995885 3 inf 1 0 0 0 0 0 0 0 0 0 0 0 nan nan nan nan nan nan nan nan 0 1 1 0 0.20974699999999999 0 5.4252816246222959e-15 1.840709486535508e-18 0.0012166526852415537 2.4318161463118388e-10 1.9987759660671173e-07 0.89272238722220432 0
ARC value_warm resonant 0.5 2 6 0.89285728622761085 0.89362903934338711 0.89324316278549898 3.2065223656863062 3.5874692369158336 0.5 3 0.0014282270785900644 1 5 5 3 2 2 0 2 64 11 32 0 nan nan nan nan nan nan nan nan 0.13162499999999999 0 0 0 0 inf inf inf nan nan inf nan 0
ARC value_warm resonant 0.5 3 7 0.89362903934338711 0.90000000000000002 0.89681451967169357 2.8275810567513315 3.8908774602658815 0.5 2 0.0018425565018040894 1 7 7 4 3 3 0 3 64 6 32 0 nan nan nan nan nan nan nan nan 0.18592800000000001 0 0 0 0 inf inf inf nan nan inf nan 0
ARC value_warm resonant 0.5 4 8 0.90000000000000002 0.93677237646692391 0.91838618823346196 2.0172678517479938 4.3779560148061041 0.5 4 0.026120903656721924 1 28 28 13 15 15 0 13 64 1 15 0 nan nan nan nan nan nan nan nan 0.65802899999999998 0 0 0 0 inf inf inf 0.44965976831259025 0.51063236163424253 1.1355971728368324 0.93677237646692391 0
ARC value_warm resonant 0.5 5 9 0.93677237646692391 0.93769585069909211 0.93723411358300801 1.7854271176553578 3.4338012894598822 0.5 1 0.04904089665443221 1 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 0.96683900000000023 0 0 0 0 inf inf inf 0.22688463971912298 0.27918795902559324 1.2305282515873279 0.93677237646692391 0
ARC value_warm resonant 0.5 6 9 0.93677237646692391 0.93769585069909211 0.93723411358300801 3.8870315298259741 4.2211234316426882 0.5 1 0.0077692043783739147 1 45 45 20 25 25 0 13 64 1 11 0 nan nan nan nan nan nan nan nan 1.067785 0 0 0 0 inf inf inf 0.010828040342525215 0.034652234786923211 3.2002314076013074 0.93677237646692391 0
ARC value_warm resonant 0.5 7 10 0.93769585069909211 0.93978051010252206 0.93873818040080703 1.775655019915463 3.2317126514035728 0.49999999999997335 1 0.046581533627988711 1 23 23 11 12 12 0 12 64 1 32 0 nan nan nan nan nan nan nan nan 0.52065899999999998 0 0 0 0 inf inf inf 0.18433023872930271 0.20910118228033378 1.1343835049625706 0.93769585069909211 0
ARC value_warm resonant 0.5 8 11 0.93978051010252206 0.96494059813101551 0.95236055411676879 1.7383614454477019 2.5366967513678484 0.5 2 0.037641042364713023 1 27 27 13 14 14 0 12 64 1 15 0 nan nan nan nan nan nan nan nan 0.60756599999999994 1 0 1 0.22315299999999999 8.6173439536848466e-06 2.9382385070254984e-05 6.9121738129951963e-07 0.071031167289875491 1.4655698059362971e-08 2.0632770963137386e-07 0.96494059813101551 6
ARC value_warm resonant 0.5 9 14 1.2570172376165298 1.2890105099961544 1.2730138738063421 6.2345833674256426 6.304044191965497 0.5 1 inf 0 0 0 0 0 0 0 0 0 0 0 0 nan nan nan nan nan nan nan nan 0 1 1 0 0.20913499999999999 1.3837653582829679e-17 0 2.7370537705042865e-17 0.00030164004449482362 1.3135592039033738e-10 4.3547242081311771e-07 1.2570172376165298 0
SUMMARY jac_cold resonant 0.5 178 178 84 94 94 0 13 0.60465699999999989 1.2710830000000002 0.94731400000000032 1.0597319999999999 0.17053499999999996 1.9405730000000001 2.1615549999999994
ARC jac_cold resonant 0.5 0 1 0.58456339397660351 0.60229857765545392 0.59343098581602871 6.2506944251541086 6.2970832937672219 0.5 1 inf 0 0 0 0 0 0 0 0 0 0 0 0 nan nan nan nan nan nan nan nan 0 1 1 0 0.40355099999999999 0 1.3735226470097859e-16 1.5323433575153467e-18 0.00013451331923208513 5.3279899421210594e-11 3.9609385691600621e-07 0.58456339397660351 0
ARC jac_cold resonant 0.5 1 5 0.89272238722220432 0.89285728622761085 0.89278983672490764 3.333287670281067 3.4704041548387474 0.4999999999995885 3 inf 1 0 0 0 0 0 0 0 0 0 0 0 nan nan nan nan nan nan nan nan 0 1 1 0 0.45127800000000001 0 2.052216912369991e-12 1.840709486535508e-18 0.0012166526852415537 2.4318161463118388e-10 1.9987759660671173e-07 0.89272238722220432 0
ARC jac_cold resonant 0.5 2 6 0.89285728622761085 0.89362903934338711 0.89324316278549898 3.2065223656863062 3.5874692369158336 0.5 3 0.0014282270785900644 1 5 5 3 2 2 0 2 64 11 32 0 nan nan nan nan nan nan nan nan 0.120503 0 0 0 0 inf inf inf nan nan inf nan 0
ARC jac_cold resonant 0.5 3 7 0.89362903934338711 0.90000000000000002 0.89681451967169357 2.8275810567513315 3.8908774602658815 0.5 2 0.0018425565018040894 1 7 7 4 3 3 0 3 64 6 32 0 nan nan nan nan nan nan nan nan 0.15848000000000001 0 0 0 0 inf inf inf nan nan inf nan 0
ARC jac_cold resonant 0.5 4 8 0.90000000000000002 0.93677237646692391 0.91838618823346196 2.0172678517479938 4.3779560148061041 0.5 4 0.026120903656721924 1 28 28 13 15 15 0 13 64 1 15 0 nan nan nan nan nan nan nan nan 0.63615499999999991 0 0 0 0 inf inf inf 0.44965976831259025 0.51063236163424253 1.1355971728368324 0.93677237646692391 0
ARC jac_cold resonant 0.5 5 9 0.93677237646692391 0.93769585069909211 0.93723411358300801 1.7854271176553578 3.4338012894598822 0.5 1 0.04904089665443221 1 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 1.0417179999999999 0 0 0 0 inf inf inf 0.22688463971912298 0.27918795902559324 1.2305282515873279 0.93677237646692391 0
ARC jac_cold resonant 0.5 6 9 0.93677237646692391 0.93769585069909211 0.93723411358300801 3.8870315298259741 4.2211234316426882 0.5 1 0.0077692043783739147 1 45 45 20 25 25 0 13 64 1 11 0 nan nan nan nan nan nan nan nan 1.0202309999999999 0 0 0 0 inf inf inf 0.010828040342525215 0.034652234786923211 3.2002314076013074 0.93677237646692391 0
ARC jac_cold resonant 0.5 7 10 0.93769585069909211 0.93978051010252206 0.93873818040080703 1.775655019915463 3.2317126514035728 0.49999999999997335 1 0.046581533627988711 1 23 23 11 12 12 0 12 64 1 32 0 nan nan nan nan nan nan nan nan 0.517536 0 0 0 0 inf inf inf 0.18433023872930271 0.20910118228033378 1.1343835049625706 0.93769585069909211 0
