mode,name,u,epoch,nr,gm_ms,v2_ms,gm_status,v2_status,mu_error,jac_error,topology_ms,seed_ms,connection_ms,transport_ms,arc_ms,reseed_ms,seeds,nodes,transported,connection_attempts,connection_failed,steps,rejected
cold,extreme-q-lo,0.5,0,64,405.201002,1.289590,0,0,3.236312e-15,8.147847e-12,1.081998,0.585423,386.388654,16.592740,0.215020,0,2,128,128,222,0,222,74
cold,extreme-q-lo,0.5,1,64,401.576895,1.309058,0,0,2.240553e-15,4.489637e-12,1.155975,0.577891,382.897061,16.382997,0.220966,0,2,128,128,220,0,220,71
warm_init,extreme-q-lo,0.5,0,64,405.308695,1.311049,0,0,3.236312e-15,8.147847e-12,1.088224,0.590829,386.386154,16.693301,0.213134,0,2,128,128,222,0,222,74
warm,extreme-q-lo,0.5,1,64,401.429432,1.213069,0,0,2.240553e-15,4.489637e-12,1.033359,0.577698,382.985055,16.273766,0.215751,0,2,128,128,220,0,220,71
cold,extreme-q-planet,0.0,0,64,1.794724,1.898238,0,0,4.682297e-16,1.899137e-12,1.170928,0.000000,0.000000,0.000000,0.613310,0,0,0,0,0,0,0,0
cold,extreme-q-planet,0.0,1,64,1.820852,1.967032,0,0,2.060257e-15,3.358982e-11,1.183752,0.000000,0.000000,0.000000,0.626674,0,0,0,0,0,0,0,0
warm_init,extreme-q-planet,0.0,0,64,1.804900,1.853736,0,0,4.682297e-16,1.899137e-12,1.161592,0.000000,0.000000,0.000000,0.632780,0,0,0,0,0,0,0,0
warm,extreme-q-planet,0.0,1,64,1.819248,1.871478,0,0,2.060257e-15,3.358982e-11,1.057453,0.000000,0.000000,0.000000,0.751378,0,0,0,0,0,0,0,0
cold,extreme-q-planet,0.5,0,64,1994.401021,1.985230,0,0,1.303226e-13,2.036170e-10,1.154319,1.738934,1862.224031,127.507044,0.682925,0,6,384,384,1070,0,1070,1207
cold,extreme-q-planet,0.5,1,64,1992.536457,1.895732,0,0,6.464744e-15,1.012149e-11,1.201038,1.756764,1860.441512,127.414364,0.634785,0,6,384,384,1069,0,1069,1207
warm_init,extreme-q-planet,0.5,0,64,1994.804388,1.887987,0,0,1.303226e-13,2.036170e-10,1.169036,1.766292,1862.569595,127.573534,0.637505,0,6,384,384,1070,0,1070,1207
warm,extreme-q-planet,0.5,1,64,1992.448670,1.930904,0,0,6.464744e-15,1.012149e-11,1.068656,1.741386,1860.230111,127.555301,0.770423,0,6,384,384,1069,0,1069,1207
cold,very-wide,0.0,0,64,1.015658,0.932178,0,0,0.000000e+00,2.651532e-14,0.796283,0.000000,0.000000,0.000000,0.214955,0,0,0,0,0,0,0,0
cold,very-wide,0.0,1,64,0.996818,0.906829,0,0,2.190304e-16,3.310598e-12,0.781954,0.000000,0.000000,0.000000,0.210763,0,0,0,0,0,0,0,0
warm_init,very-wide,0.0,0,64,0.977690,0.907763,0,0,0.000000e+00,2.651532e-14,0.765924,0.000000,0.000000,0.000000,0.207678,0,0,0,0,0,0,0,0
warm,very-wide,0.0,1,64,0.886766,0.822701,0,0,2.190304e-16,3.310598e-12,0.656998,0.000000,0.000000,0.000000,0.225684,0,0,0,0,0,0,0,0
cold,very-wide,0.5,0,64,296.542544,0.952094,0,0,3.285456e-16,9.924450e-14,0.755277,0.583029,285.411031,9.249081,0.215267,0,2,128,128,164,0,164,0
cold,very-wide,0.5,1,64,296.566486,0.947797,0,0,2.190304e-16,1.999068e-12,0.783195,0.577980,285.506507,9.158801,0.211434,0,2,128,128,164,0,164,0
warm_init,very-wide,0.5,0,64,296.513633,0.915525,0,0,3.285456e-16,9.924450e-14,0.759552,0.577818,285.428441,9.199226,0.220162,0,2,128,128,164,0,164,0
warm,very-wide,0.5,1,64,296.463367,0.835346,0,0,2.190304e-16,1.999068e-12,0.662961,0.585284,285.490166,9.164357,0.227117,0,2,128,128,164,0,164,0
cold,very-close,0.0,0,64,4.148347,2.178704,0,0,4.079883e-16,4.640996e-12,0.870395,0.000000,0.000000,0.000000,3.261877,0,0,0,0,0,0,0,0
cold,very-close,0.0,1,64,5.157565,2.217975,0,0,5.442430e-16,7.208629e-12,0.722808,0.000000,0.000000,0.000000,4.419000,0,0,0,0,0,0,0,0
warm_init,very-close,0.0,0,64,4.071243,2.161988,0,0,4.079883e-16,4.640996e-12,0.863832,0.000000,0.000000,0.000000,3.192398,0,0,0,0,0,0,0,0
warm,very-close,0.0,1,64,5.233618,2.152889,0,0,5.442430e-16,7.208629e-12,0.683356,0.000000,0.000000,0.000000,4.533038,0,0,0,0,0,0,0,0
cold,very-close,0.5,0,64,13816.398242,2.203399,0,0,5.845080e-09,5.559709e-04,0.859983,3.782230,12248.872966,1556.180424,3.258379,0,13,832,832,7037,0,7037,20753
cold,very-close,0.5,1,64,13836.958792,2.249251,0,0,6.472462e-09,6.391429e-04,0.737858,3.837542,12265.713126,1558.693576,4.515924,0,13,832,832,7046,0,7046,20789
warm_init,very-close,0.5,0,64,13816.881796,2.201320,0,0,5.845080e-09,5.559709e-04,0.872701,3.806184,12249.152662,1556.237518,3.347727,0,13,832,832,7037,0,7037,20753
warm,very-close,0.5,1,64,13837.730965,2.168515,0,0,6.472462e-09,6.391429e-04,0.693091,3.816459,12267.102383,1558.106997,4.560247,0,13,832,832,7046,0,7046,20789
cold,fold-tangent,0.0,0,64,1.027157,1.110703,0,0,1.254418e-16,1.496156e-13,0.569873,0.000000,0.000000,0.000000,0.443094,0,0,0,0,0,0,0,0
cold,fold-tangent,0.0,1,64,1.002877,1.088651,0,0,6.271355e-16,2.674023e-12,0.553674,0.000000,0.000000,0.000000,0.435619,0,0,0,0,0,0,0,0
warm_init,fold-tangent,0.0,0,64,0.955424,1.099709,0,0,1.254418e-16,1.496156e-13,0.518576,0.000000,0.000000,0.000000,0.423374,0,0,0,0,0,0,0,0
warm,fold-tangent,0.0,1,64,1.088305,1.031584,0,0,6.271355e-16,2.674023e-12,0.433956,0.000000,0.000000,0.000000,0.640761,0,0,0,0,0,0,0,0
cold,fold-tangent,0.5,0,64,1490.064823,1.129898,0,0,1.433222e-14,4.000208e-13,0.521638,2.933661,1437.507773,47.011061,0.440594,0,10,640,640,826,0,826,13
cold,fold-tangent,0.5,1,64,1490.388718,1.112500,0,0,1.282101e-14,9.730382e-13,0.564413,2.936883,1437.598162,47.168330,0.441969,0,10,640,640,826,0,826,14
warm_init,fold-tangent,0.5,0,64,1490.612827,1.116216,0,0,1.433222e-14,4.000208e-13,0.531156,2.920212,1438.214280,46.865532,0.430850,0,10,640,640,826,0,826,13
warm,fold-tangent,0.5,1,64,1490.292774,1.055846,0,0,1.282101e-14,9.730382e-13,0.441391,2.941490,1437.450579,47.174429,0.642135,0,10,640,640,826,0,826,14
cold,rand000,0.0,0,64,1.009689,1.076386,0,0,2.266450e-16,8.679103e-12,0.829847,0.000000,0.000000,0.000000,0.172482,0,0,0,0,0,0,0,0
cold,rand000,0.0,1,64,0.997358,1.069413,0,0,9.821129e-16,4.339533e-12,0.826706,0.000000,0.000000,0.000000,0.163345,0,0,0,0,0,0,0,0
warm_init,rand000,0.0,0,64,0.998010,1.079186,0,0,2.266450e-16,8.679103e-12,0.810217,0.000000,0.000000,0.000000,0.180271,0,0,0,0,0,0,0,0
warm,rand000,0.0,1,64,0.914947,0.963621,0,0,9.821129e-16,4.339533e-12,0.702767,0.000000,0.000000,0.000000,0.204944,0,0,0,0,0,0,0,0
cold,rand000,0.5,0,64,591.946094,1.087596,0,0,5.288471e-16,5.222991e-12,0.799844,1.171044,570.764535,18.377093,0.171099,0,4,256,256,328,0,328,0
cold,rand000,0.5,1,64,592.097108,1.075136,0,0,4.532904e-16,2.720295e-12,0.821054,1.177366,570.981342,18.293274,0.167781,0,4,256,256,328,0,328,0
warm_init,rand000,0.5,0,64,592.277381,1.087231,0,0,5.288471e-16,5.222991e-12,0.816139,1.155455,571.082647,18.383007,0.171267,0,4,256,256,328,0,328,0
warm,rand000,0.5,1,64,592.049872,0.973859,0,0,4.532904e-16,2.720295e-12,0.700114,1.173967,570.940850,18.365030,0.213088,0,4,256,256,328,0,328,0
cold,rand001,0.0,0,64,0.746167,0.790880,0,0,3.110879e-16,2.334186e-13,0.620832,0.000000,0.000000,0.000000,0.119690,0,0,0,0,0,0,0,0
cold,rand001,0.0,1,64,0.706820,0.780046,0,0,1.555624e-16,2.074414e-12,0.601740,0.000000,0.000000,0.000000,0.099486,0,0,0,0,0,0,0,0
warm_init,rand001,0.0,0,64,0.717108,0.778820,0,0,3.110879e-16,2.334186e-13,0.592823,0.000000,0.000000,0.000000,0.118652,0,0,0,0,0,0,0,0
warm,rand001,0.0,1,64,0.589336,0.675345,0,0,1.555624e-16,2.074414e-12,0.483622,0.000000,0.000000,0.000000,0.099981,0,0,0,0,0,0,0,0
cold,rand001,0.5,0,64,444.115963,0.795525,0,0,1.556130e-16,1.497113e-13,0.616791,0.874112,428.286543,13.724447,0.121047,0,3,192,192,246,0,246,0
cold,rand001,0.5,1,64,444.162064,0.796941,0,0,3.890787e-16,1.269688e-12,0.602904,0.866589,428.298867,13.800829,0.099958,0,3,192,192,246,0,246,0
warm_init,rand001,0.5,0,64,444.036828,0.791422,0,0,1.556130e-16,1.497113e-13,0.608705,0.880745,428.125871,13.803189,0.125222,0,3,192,192,246,0,246,0
warm,rand001,0.5,1,64,443.910053,0.670947,0,0,3.890787e-16,1.269688e-12,0.488035,0.876891,428.136559,13.813881,0.102366,0,3,192,192,246,0,246,0
cold,rand002,0.0,0,64,1.154320,1.223305,0,0,6.259445e-16,1.363324e-13,0.982376,0.000000,0.000000,0.000000,0.167769,0,0,0,0,0,0,0,0
cold,rand002,0.0,1,64,1.128192,1.226939,0,0,2.503506e-16,1.351826e-12,0.962559,0.000000,0.000000,0.000000,0.161404,0,0,0,0,0,0,0,0
warm_init,rand002,0.0,0,64,1.139075,1.198230,0,0,6.259445e-16,1.363324e-13,0.961443,0.000000,0.000000,0.000000,0.173416,0,0,0,0,0,0,0,0
warm,rand002,0.0,1,64,1.027569,1.088828,0,0,2.503506e-16,1.351826e-12,0.861110,0.000000,0.000000,0.000000,0.162177,0,0,0,0,0,0,0,0
cold,rand002,0.5,0,64,296.623470,1.255505,0,0,2.504263e-16,4.898667e-13,0.952716,0.578283,285.405571,9.189220,0.168620,0,2,128,128,164,0,164,0
cold,rand002,0.5,1,64,296.624151,1.228455,0,0,6.259978e-16,2.895811e-13,0.976315,0.584077,285.364143,9.203274,0.161616,0,2,128,128,164,0,164,0
warm_init,rand002,0.5,0,64,296.665384,1.239507,0,0,2.504263e-16,4.898667e-13,0.966285,0.577693,285.412653,9.205817,0.174281,0,2,128,128,164,0,164,0
warm,rand002,0.5,1,64,296.648791,1.128226,0,0,6.259978e-16,2.895811e-13,0.846796,0.583047,285.483203,9.237509,0.169629,0,2,128,128,164,0,164,0
cold,rand003,0.0,0,64,1.945688,1.276218,0,0,1.407112e-16,2.658109e-13,0.762585,0.000000,0.000000,0.000000,1.175635,0,0,0,0,0,0,0,0
cold,rand003,0.0,1,64,1.890426,1.286987,0,0,0.000000e+00,1.088912e-12,0.764672,0.000000,0.000000,0.000000,1.118354,0,0,0,0,0,0,0,0
warm_init,rand003,0.0,0,64,1.922545,1.250866,0,0,1.407112e-16,2.658109e-13,0.743630,0.000000,0.000000,0.000000,1.171680,0,0,0,0,0,0,0,0
warm,rand003,0.0,1,64,1.734765,1.171708,0,0,0.000000e+00,1.088912e-12,0.613899,0.000000,0.000000,0.000000,1.113613,0,0,0,0,0,0,0,0
cold,rand003,0.5,0,64,830.324953,1.301546,0,0,1.550955e-15,4.138237e-08,0.732582,1.156181,791.923380,34.634020,1.183588,0,4,256,256,455,0,455,163
cold,rand003,0.5,1,64,826.595750,1.265858,0,0,8.457186e-16,3.658056e-09,0.760634,1.190816,788.575547,34.182855,1.202286,0,4,256,256,453,0,453,158
warm_init,rand003,0.5,0,64,830.475796,1.285330,0,0,1.550955e-15,4.138237e-08,0.746723,1.166841,792.081739,34.628430,1.178109,0,4,256,256,455,0,455,163
warm,rand003,0.5,1,64,826.341780,1.201231,0,0,8.457186e-16,3.658056e-09,0.620865,1.155778,788.540255,34.228530,1.122190,0,4,256,256,453,0,453,158
cold,rand004,0.0,0,64,1.199600,0.793797,0,0,1.853993e-16,3.165230e-12,1.077755,0.000000,0.000000,0.000000,0.116109,0,0,0,0,0,0,0,0
cold,rand004,0.0,1,64,1.211629,0.770183,0,0,1.854053e-16,2.481897e-13,1.078716,0.000000,0.000000,0.000000,0.127177,0,0,0,0,0,0,0,0
warm_init,rand004,0.0,0,64,1.174549,0.776746,0,0,1.853993e-16,3.165230e-12,1.054176,0.000000,0.000000,0.000000,0.114624,0,0,0,0,0,0,0,0
warm,rand004,0.0,1,64,0.744803,0.709266,0,0,1.854053e-16,2.481897e-13,0.546178,0.000000,0.000000,0.000000,0.193054,0,0,0,0,0,0,0,0
cold,rand004,0.5,0,64,444.519076,0.807725,0,0,1.854165e-16,1.931862e-12,1.044349,0.873340,428.133165,13.853305,0.116039,0,3,192,192,246,0,246,0
cold,rand004,0.5,1,64,444.452534,0.772983,0,0,1.854224e-16,1.396953e-13,1.081582,0.886078,428.130789,13.730462,0.131040,0,3,192,192,246,0,246,0
warm_init,rand004,0.5,0,64,444.613103,0.812346,0,0,1.854165e-16,1.931862e-12,1.060637,0.866963,428.254690,13.811157,0.120923,0,3,192,192,246,0,246,0
warm,rand004,0.5,1,64,444.147874,0.732842,0,0,1.854224e-16,1.396953e-13,0.562337,0.879908,428.226969,13.788203,0.197564,0,3,192,192,246,0,246,0
cold,rand005,0.0,0,64,0.870347,0.926533,0,0,1.798665e-16,8.256887e-13,0.794852,0.000000,0.000000,0.000000,0.071391,0,0,0,0,0,0,0,0
cold,rand005,0.0,1,64,1.045235,1.103261,0,0,0.000000e+00,1.625271e-15,0.969586,0.000000,0.000000,0.000000,0.071356,0,0,0,0,0,0,0,0
